subject_id,device_id,time_s,time,code
User02,22480,71648,D0001 19:54:08,AHON
User02,22480,71656,D0001 19:54:16,AHOF
User02,22480,158970,D0002 20:09:30,AHON
User02,22480,158978,D0002 20:09:38,AHOF
User02,22480,337926,D0004 21:52:06,AHON
User02,22480,337934,D0004 21:52:14,AHOF
User02,22480,499496,D0006 18:44:56,AHON
User02,22480,499503,D0006 18:45:03,AHOF
User02,22480,764763,D0009 20:26:03,AHON
User02,22480,764771,D0009 20:26:11,AHOF
User02,22480,850766,D0010 20:19:26,AHON
User02,22480,850777,D0010 20:19:37,AHOF
User02,22480,1110819,D0013 20:33:39,AHON
User02,22480,1110827,D0013 20:33:47,AHOF
User02,22480,1197047,D0014 20:30:47,AHON
User02,22480,1197055,D0014 20:30:55,AHOF
User02,22480,1280352,D0015 19:39:12,AHON
User02,22480,1280360,D0015 19:39:20,AHOF
User02,22480,1368145,D0016 20:02:25,AHON
User02,22480,1368154,D0016 20:02:34,AHOF
User02,22480,1627389,D0019 20:03:09,AHON
User02,22480,1627402,D0019 20:03:22,AHOF
User02,22480,1627827,D0019 20:10:27,AHON
User02,22480,1627833,D0019 20:10:33,AHOF
User02,22480,1627837,D0019 20:10:37,AHON
User02,22480,1627845,D0019 20:10:45,AHOF
User02,22480,1796384,D0021 18:59:44,AHON
User02,22480,1796392,D0021 18:59:52,AHOF
User02,22480,2058724,D0024 19:52:04,AHON
User02,22480,2058732,D0024 19:52:12,AHOF
User02,22480,2145976,D0025 20:06:16,AHON
User02,22480,2145984,D0025 20:06:24,AHOF
User02,22480,2318888,D0027 20:08:08,AHON
User02,22480,2318897,D0027 20:08:17,AHOF
User02,22480,2405462,D0028 20:11:02,AHON
User02,22480,2405473,D0028 20:11:13,AHOF
User02,22480,2492716,D0029 20:25:16,AHON
User02,22480,2492724,D0029 20:25:24,AHOF
User02,22480,2575035,D0030 19:17:15,AHON
User02,22480,2575043,D0030 19:17:23,AHOF
User02,22480,2748883,D0032 19:34:43,AHON
User02,22480,2748894,D0032 19:34:54,AHOF
User02,22480,2836416,D0033 19:53:36,AHON
User02,22480,2836427,D0033 19:53:47,AHOF
User02,22480,2855976,D0034 01:19:36,AHON
User02,22480,2855983,D0034 01:19:43,AHOF
User02,22480,3008572,D0035 19:42:52,AHON
User02,22480,3008583,D0035 19:43:03,AHOF
User02,22480,3103095,D0036 21:58:15,AHON
User02,22480,3103103,D0036 21:58:23,AHOF
User02,22480,3268772,D0038 19:59:32,AHON
User02,22480,3268780,D0038 19:59:40,AHOF
User02,22480,3355706,D0039 20:08:26,AHON
User02,22480,3355717,D0039 20:08:37,AHOF
User02,22480,3441770,D0040 20:02:50,AHON
User02,22480,3441782,D0040 20:03:02,AHOF
User02,22480,3523582,D0041 18:46:22,AHON
User02,22480,3523593,D0041 18:46:33,AHOF
User02,22480,3618753,D0042 21:12:33,AHON
User02,22480,3618761,D0042 21:12:41,AHOF
User02,22480,3698966,D0043 19:29:26,AHON
User02,22480,3698975,D0043 19:29:35,AHOF
User02,22480,3803680,D0045 00:34:40,AHON
User02,22480,3803689,D0045 00:34:49,AHOF
User02,22480,3857745,D0045 15:35:45,AHON
User02,22480,3857756,D0045 15:35:56,AHOF
User02,22480,3863508,D0045 17:11:48,AHON
User02,22480,3863516,D0045 17:11:56,AHOF
User02,22480,3869943,D0045 18:59:03,AHON
User02,22480,3869951,D0045 18:59:11,AHOF
User02,22480,3960357,D0046 20:05:57,AHON
User02,22480,3960369,D0046 20:06:09,AHOF
User02,22480,3971616,D0046 23:13:36,AHON
User02,22480,3971623,D0046 23:13:43,AHOF
User02,22480,4043480,D0047 19:11:20,AHON
User02,22480,4043489,D0047 19:11:29,AHOF
User02,22480,4138868,D0048 21:41:08,AHON
User02,22480,4138880,D0048 21:41:20,AHOF
User02,22482,70919,D0001 19:41:59,AHON
User02,22482,70927,D0001 19:42:07,AHOF
User02,22482,334096,D0004 20:48:16,AHON
User02,22482,334103,D0004 20:48:23,AHOF
User02,22482,339634,D0004 22:20:34,AHON
User02,22482,339640,D0004 22:20:40,AHOF
User02,22482,426409,D0005 22:26:49,AHON
User02,22482,426417,D0005 22:26:57,AHOF
User02,22482,435082,D0006 00:51:22,AHON
User02,22482,435090,D0006 00:51:30,AHOF
User02,22482,501708,D0006 19:21:48,AHON
User02,22482,501716,D0006 19:21:56,AHOF
User02,22482,524418,D0007 01:40:18,AHON
User02,22482,524423,D0007 01:40:23,AHOF
User02,22482,525189,D0007 01:53:09,AHON
User02,22482,525194,D0007 01:53:14,AHOF
User02,22482,531592,D0007 03:39:52,AHON
User02,22482,531600,D0007 03:40:00,AHOF
User02,22482,531674,D0007 03:41:14,AHON
User02,22482,531680,D0007 03:41:20,AHOF
User02,22482,533250,D0007 04:07:30,AHON
User02,22482,533256,D0007 04:07:36,AHOF
User02,22482,691405,D0009 00:03:25,AHON
User02,22482,691413,D0009 00:03:33,AHOF
User02,22482,771101,D0009 22:11:41,AHON
User02,22482,771108,D0009 22:11:48,AHOF
User02,22482,850793,D0010 20:19:53,AHON
