subject_id,target,budget_nights,predictor,seed,mae,rmse,bias,n_windows,n_nights,fit_windows,fit_nights,source
User01,temperature,0,A,,2.8376755609663435,3.2731400154870927,2.750376859274342,265852,136,284970,151,recomputed
User01,humidity,0,A,,23.72182675677627,25.222821288832197,23.717035738095024,265852,136,284970,151,recomputed
User01,temperature,0,A_med,,3.329563065164076,3.753460605255362,3.3075056798519475,265852,136,284970,151,recomputed
User01,humidity,0,A_med,,21.923814754073696,23.532447512797187,21.910799993981612,265852,136,284970,151,recomputed
User01,temperature,1,B,,2.305443662818614,2.7420104469653945,2.09039436430457,265852,136,1087,1,recomputed
User01,humidity,1,B,,44.62837129112971,45.44650100574544,44.62837129112971,265852,136,1087,1,recomputed
User01,temperature,1,B_med,,2.4466658140619595,2.9109199843863887,2.3075056798519475,265852,136,1087,1,recomputed
User01,humidity,1,B_med,,43.91079999398161,44.74205276557777,43.91079999398161,265852,136,1087,1,recomputed
User01,temperature,3,B,,2.2685891546214667,2.6990649321678806,2.0337351880486683,265852,136,3050,3,recomputed
User01,humidity,3,B,,44.155390157916045,44.98212322205433,44.155390157916045,265852,136,3050,3,recomputed
User01,temperature,3,B_med,,2.4466658140619595,2.9109199843863887,2.3075056798519475,265852,136,3050,3,recomputed
User01,humidity,3,B_med,,43.91079999398161,44.74205276557777,43.91079999398161,265852,136,3050,3,recomputed
User01,temperature,7,B,,2.1619043237350684,2.5777370022393913,1.8697206635653008,265852,136,7675,7,recomputed
User01,humidity,7,B,,35.52395960310214,36.54647227091997,35.52395960310214,265852,136,7675,7,recomputed
User01,temperature,7,B_med,,2.4466658140619595,2.9109199843863887,2.3075056798519475,265852,136,7675,7,recomputed
User01,humidity,7,B_med,,42.91079999398161,43.76105215473895,42.91079999398161,265852,136,7675,7,recomputed
User01,temperature,14,B,,1.8708246755749345,2.2741127693728846,1.4222222733714156,265852,136,21418,14,recomputed
User01,humidity,14,B,,19.094125299779343,20.898042285260974,19.05348371795211,265852,136,21418,14,recomputed
User01,temperature,14,B_med,,1.7962061598182448,2.204187785964743,1.3075056798519478,265852,136,21418,14,recomputed
User01,humidity,14,B_med,,12.44097467764019,14.681964652692848,11.910799993981614,265852,136,21418,14,recomputed
User01,temperature,0,C,0,2.8132957138884467,3.4545021794818416,1.6826814709666877,265852,136,,,frozen_predictions
User01,humidity,0,C,0,19.267175499700787,22.05854497838365,19.05009962503423,265852,136,,,frozen_predictions
User01,temperature,0,C,1,3.3145944897849513,4.060256763133392,2.107141077360308,265852,136,,,frozen_predictions
User01,humidity,0,C,1,20.841676912869673,23.68754700953557,20.58105552757318,265852,136,,,frozen_predictions
User01,temperature,0,C,2,3.149111626976526,3.7650727463194635,1.918255546112007,265852,136,,,frozen_predictions
User01,humidity,0,C,2,21.929375091538763,25.017800938053398,21.68217146537588,265852,136,,,frozen_predictions
User01,temperature,1,E,0,2.8186030413563867,3.3800514402621937,2.343849543452121,265852,136,,,frozen_predictions
User01,humidity,1,E,0,25.203912986262054,27.870417965917003,25.170210976932264,265852,136,,,frozen_predictions
User01,temperature,1,E,1,3.442643043126967,4.047149462387312,3.0878759747723104,265852,136,,,frozen_predictions
User01,humidity,1,E,1,29.216494217473198,31.665818600239362,29.19784636999411,265852,136,,,frozen_predictions
User01,temperature,1,E,2,3.1723153194994818,3.7222108143709796,2.708408485407997,265852,136,,,frozen_predictions
User01,humidity,1,E,2,29.074082516128374,31.72604931636408,29.055219186914435,265852,136,,,frozen_predictions
User01,temperature,3,E,0,2.795496356198685,3.3006697959527713,2.5437829746466343,265852,136,,,frozen_predictions
User01,humidity,3,E,0,33.03066884306808,35.34485716801323,33.02841506596303,265852,136,,,frozen_predictions
User01,temperature,3,E,1,2.802724119075196,3.301718420192938,2.5230764791658844,265852,136,,,frozen_predictions
User01,humidity,3,E,1,34.063584038663954,36.14844571520185,34.059174201558626,265852,136,,,frozen_predictions
User01,temperature,3,E,2,2.965733073402239,3.5279541512792063,2.7399916891069123,265852,136,,,frozen_predictions
User01,humidity,3,E,2,35.46670444547784,37.65081010621787,35.46464474737688,265852,136,,,frozen_predictions
User01,temperature,7,E,0,2.248300813498881,2.711582455515873,1.8326239391312753,265852,136,,,frozen_predictions
User01,humidity,7,E,0,29.762046793452583,31.815996000158904,29.756230087218153,265852,136,,,frozen_predictions
User01,temperature,7,E,1,2.2491326007428256,2.709980766870717,1.8918381023207163,265852,136,,,frozen_predictions
User01,humidity,7,E,1,29.55680087309718,31.947503549317414,29.53882393435267,265852,136,,,frozen_predictions
User01,temperature,7,E,2,2.417872631520781,2.9270599910720945,2.1094962384281235,265852,136,,,frozen_predictions
User01,humidity,7,E,2,30.51757207394241,32.63480420322787,30.506503164061233,265852,136,,,frozen_predictions
User01,temperature,14,E,0,1.7116959553467817,2.0811377201902577,1.1132614060977635,265852,136,,,frozen_predictions
User01,humidity,14,E,0,15.786125678465487,19.044896228737795,15.189618698706337,265852,136,,,frozen_predictions
User01,temperature,14,E,1,1.8080890003611516,2.1965460533956476,1.269098534476052,265852,136,,,frozen_predictions
User01,humidity,14,E,1,16.515323596853243,19.435739087339467,16.15697050928776,265852,136,,,frozen_predictions
User01,temperature,14,E,2,1.739556205288495,2.113098941759874,1.1728618664244004,265852,136,,,frozen_predictions
User01,humidity,14,E,2,15.78284313086788,19.040774101684192,15.005017912334242,265852,136,,,frozen_predictions
User01,temperature,14,S,0,1.7689328863158995,2.1448027049123364,1.2197980130643433,265852,136,,,frozen_predictions
User01,humidity,14,S,0,15.889639143219139,18.98790636891007,15.432831863558558,265852,136,,,frozen_predictions
User01,temperature,14,S,1,1.7908058920733234,2.1720398492325463,1.2724095796519361,265852,136,,,frozen_predictions
User01,humidity,14,S,1,15.407136965636143,18.585535070563818,14.82154407002788,265852,136,,,frozen_predictions
User01,temperature,14,S,2,1.7798105461329075,2.1547910786608595,1.2581662273369763,265852,136,,,frozen_predictions
User01,humidity,14,S,2,15.980597813404904,19.131577886162358,15.48196044748463,265852,136,,,frozen_predictions
User01,temperature,1,D,0,4.592847233349858,5.313682546327884,4.374134637598551,265852,136,1087,,reused_p8_by_seed
User01,humidity,1,D,0,51.584625598547106,52.76975183741086,51.584625598547106,265852,136,1087,,reused_p8_by_seed
User01,temperature,1,D,1,5.07713178603912,5.86493256523868,4.727768240102921,265852,136,1087,,reused_p8_by_seed
User01,humidity,1,D,1,51.628064482283456,52.942336147833956,51.627230412741866,265852,136,1087,,reused_p8_by_seed
