subject_id,target,budget_nights,first,second,seed,role,n_nights,n_windows,first_mae,second_mae,point_estimate,ci_lower,ci_upper,interval,night_median_delta,proportion_nights_second_better,n_resamples,rng_seed,level
User01,temperature,1,B,D,0,primary,136,265852,2.3054436628186616,4.592847233349858,-2.287403570531196,-2.4307781782996236,-2.1375685293406916,below_zero,-2.0220301702409285,0.007352941176470588,2000,0,0.95
User01,temperature,1,B,D,1,sensitivity,136,265852,2.3054436628186616,5.077131786039122,-2.7716881232204607,-2.959331299252009,-2.575922613022391,below_zero,-2.4071804200868767,0.007352941176470588,2000,0,0.95
User01,temperature,1,B,D,2,sensitivity,136,265852,2.3054436628186616,5.0958737042661255,-2.790430041447464,-2.926672838868323,-2.6528282852521077,below_zero,-2.6311464332610983,0.007352941176470588,2000,0,0.95
User01,temperature,1,B,E,0,primary,136,265852,2.3054436628186616,2.818603041356387,-0.5131593785377255,-0.6216904624355339,-0.4008529981340961,below_zero,-0.4131919769313763,0.29411764705882354,2000,0,0.95
User01,temperature,1,B,E,1,sensitivity,136,265852,2.3054436628186616,3.4426430431269655,-1.1371993803083038,-1.2541314620460065,-1.021195963798194,below_zero,-0.9727844472567551,0.014705882352941176,2000,0,0.95
User01,temperature,1,B,E,2,sensitivity,136,265852,2.3054436628186616,3.172315319499481,-0.8668716566808192,-0.9337424792206364,-0.7954807999397503,below_zero,-0.8599378415209264,0.022058823529411766,2000,0,0.95
User01,temperature,1,D,E,0,primary,136,265852,4.592847233349858,2.818603041356387,1.7742441919934704,1.6693029100347203,1.8632102178099927,above_zero,1.9751160706242783,1.0,2000,0,0.95
User01,temperature,1,D,E,1,sensitivity,136,265852,5.077131786039122,3.4426430431269655,1.6344887429121568,1.5416054821084855,1.7215930916323416,above_zero,1.5406504304941224,1.0,2000,0,0.95
User01,temperature,1,D,E,2,sensitivity,136,265852,5.0958737042661255,3.172315319499481,1.9235583847666446,1.83152563661771,2.0087087911791954,above_zero,1.9419895788083312,0.9852941176470589,2000,0,0.95
User01,temperature,3,B,D,0,primary,136,265852,2.2685891546214325,3.4225853996666835,-1.153996245045251,-1.3037412323718887,-1.0027512204874391,below_zero,-0.8402808513392843,0.014705882352941176,2000,0,0.95
User01,temperature,3,B,D,1,sensitivity,136,265852,2.2685891546214325,3.728156905645134,-1.4595677510237013,-1.6696433361686267,-1.245248773429188,below_zero,-0.954690562874186,0.03676470588235294,2000,0,0.95
User01,temperature,3,B,D,2,sensitivity,136,265852,2.2685891546214325,3.8462665272077823,-1.5776773725863498,-1.7039089648533214,-1.4469064243359324,below_zero,-1.4102488213608109,0.007352941176470588,2000,0,0.95
User01,temperature,3,B,E,0,primary,136,265852,2.2685891546214325,2.795496356198686,-0.5269072015772536,-0.5634890291039546,-0.48651902837277894,below_zero,-0.5414524584905551,0.029411764705882353,2000,0,0.95
User01,temperature,3,B,E,1,sensitivity,136,265852,2.2685891546214325,2.8027241190751946,-0.5341349644537621,-0.577377699371355,-0.48815070685675377,below_zero,-0.5528172519406569,0.04411764705882353,2000,0,0.95
User01,temperature,3,B,E,2,sensitivity,136,265852,2.2685891546214325,2.9657330734022387,-0.6971439187808062,-0.7636356959768381,-0.6266655535090099,below_zero,-0.6738939563648024,0.051470588235294115,2000,0,0.95
User01,temperature,3,D,E,0,primary,136,265852,3.4225853996666835,2.795496356198686,0.6270890434679974,0.4806804096807559,0.7694508853883495,above_zero,0.23942365788192332,0.6764705882352942,2000,0,0.95
User01,temperature,3,D,E,1,sensitivity,136,265852,3.728156905645134,2.8027241190751946,0.9254327865699392,0.7146259328250709,1.1260066994218256,above_zero,0.5191343210507825,0.6176470588235294,2000,0,0.95
User01,temperature,3,D,E,2,sensitivity,136,265852,3.8462665272077823,2.9657330734022387,0.8805334538055436,0.7154650366538603,1.0454184555535457,above_zero,0.5857247926803312,0.7573529411764706,2000,0,0.95
