fold,subject,target,n_seeds,MAE,RMSE,bias,R,Q,r_pooled,r_within_night,r_within_night_mat,MAE_seed_min,MAE_seed_max,MAE_seed_sd,n_windows,n_nights,n_train_windows
1,User01,temperature,3,2.5525878285065478,3.0573016635830084,1.6111251384025207,1.517234655851685,1.156816460741,0.018582729059982886,0.030947964629476233,0.030947964629476233,2.504163630083262,2.6397946323392785,0.07567701140373728,139735,137,136584
1,User01,humidity,3,20.445002247826043,23.606582825894424,18.16307419799029,1.25411047246044,0.7234063109117775,-0.03376118611685557,-0.013413635491462848,-0.013413635491462848,19.4503163862062,21.419658705646132,0.9848239312418705,139735,137,136584
2,User02,temperature,3,5.136572562903118,5.526448829488378,-5.136572562903118,1.0346506151908095,0.14322596781424118,-0.17172266236678932,-0.2217847198877356,-0.04895709730853148,5.121346631969293,5.149626511688412,0.014264502412356161,74802,51,201517
2,User02,humidity,3,26.958367965015736,31.24765902356242,-26.493302881126557,1.08457123418036,0.20453334576587343,-0.3285927752272601,-0.4218503043394907,-0.07424216206682553,26.775404952558993,27.1210260757762,0.17370292737358356,74802,51,201517
3,User07,temperature,3,2.2169980372104483,2.7196747911024217,1.7296538405487627,1.2022145326447944,0.8148971397649226,0.13531670234958704,-0.0672493558324417,-0.0672493558324417,2.1203025142187877,2.3045576248785493,0.09246667203234603,61782,93,214537
3,User07,humidity,3,10.682345660620902,13.193439423967968,4.485607292883507,1.3244031457700312,0.8779596150848561,0.009803795814415662,0.026282525120055477,0.026282525120055477,10.359478005125542,11.01870096842279,0.3298183839754199,61782,93,214537
