scope,fold,subject_id,quantity,kind,recomputed,frozen,abs_diff,tolerance_abs,passed,target,seed,budget_nights
loso,2,User02,training_mean_table,float,30.710851099421944,30.710851099421944,0.0,1e-09,True,humidity,,
loso,2,User02,training_mean_prediction_keys,exact,ok,ok,,0,True,,,
loso,2,User02,training_mean_y_true,exact,,,,0,True,,,
loso,2,User02,training_mean_prediction_is_constant,exact,,,,0,True,,,
loso,2,User02,training_mean_mae,float,4.591746941300422,4.591746941300422,0.0,1e-09,True,temperature,,
loso,2,User02,training_mean_mae_summary,float,4.591746941300422,4.591746941300422,0.0,1e-09,True,temperature,,
loso,2,User02,training_mean_rmse,float,4.9857234906260235,4.9857234906260235,0.0,1e-09,True,temperature,,
loso,2,User02,training_mean_rmse_summary,float,4.9857234906260235,4.9857234906260235,0.0,1e-09,True,temperature,,
loso,2,User02,training_mean_bias,float,-4.591746941300422,-4.591746941300422,0.0,1e-09,True,temperature,,
loso,2,User02,training_mean_bias_summary,float,-4.591746941300422,-4.591746941300422,0.0,1e-09,True,temperature,,
loso,2,User02,training_mean_mae,float,27.62948740904652,27.62948740904652,0.0,1e-09,True,humidity,,
loso,2,User02,training_mean_mae_summary,float,27.62948740904652,27.62948740904652,0.0,1e-09,True,humidity,,
loso,2,User02,training_mean_rmse,float,31.081750244801675,31.081750244801675,0.0,1e-09,True,humidity,,
loso,2,User02,training_mean_rmse_summary,float,31.081750244801675,31.081750244801675,0.0,1e-09,True,humidity,,
loso,2,User02,training_mean_bias,float,-27.494997552304806,-27.494997552304806,0.0,1e-09,True,humidity,,
loso,2,User02,training_mean_bias_summary,float,-27.494997552304806,-27.494997552304806,0.0,1e-09,True,humidity,,
loso,2,User02,raw_tcn_prediction_keys,exact,ok,ok,,0,True,,0,
loso,2,User02,raw_tcn_y_true,exact,,,,0,True,,0,
loso,2,User02,raw_tcn_mae,float,4.753325550353704,4.753325550353704,0.0,1e-09,True,temperature,0,
loso,2,User02,raw_tcn_rmse,float,5.195197016752094,5.195197016752094,0.0,1e-09,True,temperature,0,
loso,2,User02,raw_tcn_bias,float,-4.753325550353704,-4.753325550353704,0.0,1e-09,True,temperature,0,
loso,2,User02,raw_tcn_n_windows,exact,143999,143999,,0,True,temperature,0,
loso,2,User02,raw_tcn_mae,float,24.322879639648473,24.322879639648473,0.0,1e-09,True,humidity,0,
loso,2,User02,raw_tcn_rmse,float,28.738022730571075,28.738022730571075,0.0,1e-09,True,humidity,0,
loso,2,User02,raw_tcn_bias,float,-23.868927822057337,-23.868927822057337,0.0,1e-09,True,humidity,0,
loso,2,User02,raw_tcn_n_windows,exact,143999,143999,,0,True,humidity,0,
loso,2,User02,raw_tcn_prediction_keys,exact,ok,ok,,0,True,,1,
loso,2,User02,raw_tcn_y_true,exact,,,,0,True,,1,
loso,2,User02,raw_tcn_mae,float,4.836182893234956,4.836182893234956,0.0,1e-09,True,temperature,1,
loso,2,User02,raw_tcn_rmse,float,5.2732934132056775,5.2732934132056775,0.0,1e-09,True,temperature,1,
loso,2,User02,raw_tcn_bias,float,-4.836182893234956,-4.836182893234956,0.0,1e-09,True,temperature,1,
loso,2,User02,raw_tcn_n_windows,exact,143999,143999,,0,True,temperature,1,
loso,2,User02,raw_tcn_mae,float,24.25969404605863,24.25969404605863,0.0,1e-09,True,humidity,1,
loso,2,User02,raw_tcn_rmse,float,28.65142485042596,28.65142485042596,0.0,1e-09,True,humidity,1,
loso,2,User02,raw_tcn_bias,float,-23.814554319229828,-23.814554319229828,0.0,1e-09,True,humidity,1,
loso,2,User02,raw_tcn_n_windows,exact,143999,143999,,0,True,humidity,1,
loso,2,User02,raw_tcn_prediction_keys,exact,ok,ok,,0,True,,2,
loso,2,User02,raw_tcn_y_true,exact,,,,0,True,,2,
loso,2,User02,raw_tcn_mae,float,4.877933869264781,4.877933869264781,0.0,1e-09,True,temperature,2,
loso,2,User02,raw_tcn_rmse,float,5.304070584274466,5.304070584274466,0.0,1e-09,True,temperature,2,
loso,2,User02,raw_tcn_bias,float,-4.877933869264781,-4.877933869264781,0.0,1e-09,True,temperature,2,
loso,2,User02,raw_tcn_n_windows,exact,143999,143999,,0,True,temperature,2,
loso,2,User02,raw_tcn_mae,float,25.1911722388532,25.1911722388532,0.0,1e-09,True,humidity,2,
loso,2,User02,raw_tcn_rmse,float,29.554036016685036,29.554036016685036,0.0,1e-09,True,humidity,2,
loso,2,User02,raw_tcn_bias,float,-24.836123426626482,-24.836123426626482,0.0,1e-09,True,humidity,2,
loso,2,User02,raw_tcn_n_windows,exact,143999,143999,,0,True,humidity,2,
loso,2,User02,raw_tcn_mae_seed_mean_summary,float,4.822480770951146,4.822480770951146,0.0,1e-09,True,temperature,,
loso,2,User02,raw_tcn_rmse_seed_mean_summary,float,5.257520338077413,5.257520338077413,0.0,1e-09,True,temperature,,
