subject_id,target,condition,budget_nights,R,Q,r_pooled,r_within,r_within_mat,oracle_affine,class_r_pooled,class_r_within,class_r_within_mat,within_positive_rule,J1,J2,J3,J4,J5,J6,J7,J8_cell,unmapped_within_only,status,protocol_version
User01,temperature,C,0,1.82725502485622,1.5868677148813293,0.05778877039437138,0.022341395621645072,0.022341395621645072,0.9979728024946892,small,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User01,humidity,C,0,1.3718074439929744,0.9438052207774884,0.007130285948215936,-0.017174229343649147,-0.017174229343649147,0.9998439259252914,zero,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User01,temperature,E,1,1.4285444959427114,1.0800759521076095,0.05823707379975503,0.017320054765130974,0.017320054765130974,0.9974079898279776,small,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User01,humidity,E,1,1.4353313738197837,0.9506417364798879,-0.08168855900027693,-0.05854810429482199,-0.05854810429482199,0.9966212485571945,small,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User01,temperature,E,3,1.21259130720813,0.613653702976842,-0.07696448006164348,-0.006169217118477982,-0.006169217118477982,0.9954936156268538,small,zero,zero,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User01,humidity,E,3,1.449874735757281,0.9288213660349894,-0.12856412609016818,-0.08268221814682818,-0.08268221814682818,0.9916826007289838,negative,small,small,False,False,False,False,True,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User01,temperature,E,7,1.121081991301229,0.4728718392509022,-0.035095322791284425,-0.014332874379171606,-0.014332874379171606,0.9983734395603462,zero,small,small,False,True,False,False,False,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User01,humidity,E,7,1.3599654522093025,0.8222250689664197,-0.10437692087741435,-0.08123702467041184,-0.08123702467041184,0.9942067209009102,negative,small,small,False,False,False,False,True,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User01,temperature,E,14,0.9972515322388631,0.2620341157360117,0.140054015880577,-0.0041932552549420275,-0.0041932552549420275,0.9892981227348964,positive,zero,zero,False,False,True,False,False,False,True,True,False,False,post_hoc_second_order_diagnostic,v1.2
User01,humidity,E,14,1.320719887370623,0.7215126757273742,-0.15319600741242348,-0.04117244764655741,-0.04117244764655741,0.9877691762040447,negative,small,small,False,False,False,False,True,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User01,temperature,S,14,0.9906625018735435,0.14963610568484928,0.13727937412311828,0.01197326641415389,0.01197326641415389,0.9902742383325528,positive,zero,zero,False,False,True,False,False,False,True,True,False,False,post_hoc_second_order_diagnostic,v1.2
User01,humidity,S,14,1.3013856045879544,0.7283383699371294,-0.11191619142541198,-0.06896286270299867,-0.06896286270299867,0.9936976346839037,negative,small,small,False,False,False,False,True,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
User02,temperature,C,0,1.0856690976899928,0.23697130203800945,-0.2585933448363583,-0.2795028055580729,-0.05208139948528668,0.9659599963607715,negative,negative,small,False,False,False,False,True,False,False,True,False,False,post_hoc_second_order_diagnostic,v1.2
