model,config_fold,target,night_index,mae,bias,r,n_windows,n_seeds,protocol_version,status
raw_tcn,1,humidity,1,19.740351902057323,-19.737429284665208,0.1778214838244546,2148,3,v1.3,post_hoc_external_sensitivity
raw_tcn,1,humidity,2,23.446233335602532,-23.429328643358435,0.14060426310390628,1614,3,v1.3,post_hoc_external_sensitivity
raw_tcn,1,humidity,3,15.75857149267204,-15.590587097318682,-0.04405124261917204,1600,3,v1.3,post_hoc_external_sensitivity
raw_tcn,1,humidity,4,18.15468078551392,-18.15407035049046,-0.0018016448933205465,2323,3,v1.3,post_hoc_external_sensitivity
raw_tcn,1,humidity,5,21.81163958948339,-21.73063711928172,0.01901930606135963,1897,3,v1.3,post_hoc_external_sensitivity
raw_tcn,1,humidity,6,25.530926063393935,-25.530926063393935,0.13453352809421518,2071,3,v1.3,post_hoc_external_sensitivity
raw_tcn,1,humidity,7,19.216260690051275,-19.216260690051275,0.07855946685282661,2096,3,v1.3,post_hoc_external_sensitivity
raw_tcn,1,temperature,1,2.9910394732041454,-2.9408664158941438,0.039032988568106386,2148,3,v1.3,post_hoc_external_sensitivity
raw_tcn,1,temperature,2,2.987325134626808,-2.9379401157789222,0.09539444679556297,1614,3,v1.3,post_hoc_external_sensitivity
raw_tcn,1,temperature,3,1.91034645779928,-1.8377854438881167,-0.12719538837712044,1600,3,v1.3,post_hoc_external_sensitivity
raw_tcn,1,temperature,4,2.644396019999482,-2.617202341780956,-0.2609084867533345,2323,3,v1.3,post_hoc_external_sensitivity
raw_tcn,1,temperature,5,2.8773788232881494,-2.865252088168559,0.13466872369809615,1897,3,v1.3,post_hoc_external_sensitivity
raw_tcn,1,temperature,6,2.6109616365705457,-2.5861568212687476,-0.0688757318273332,2071,3,v1.3,post_hoc_external_sensitivity
raw_tcn,1,temperature,7,2.9320760024113564,-2.930783475015675,0.05920262177943472,2096,3,v1.3,post_hoc_external_sensitivity
raw_tcn,2,humidity,1,18.713274700448522,-18.699018424035078,0.21663875282275158,2148,3,v1.3,post_hoc_external_sensitivity
raw_tcn,2,humidity,2,22.27861937222688,-22.204178473988303,0.12048026254601578,1614,3,v1.3,post_hoc_external_sensitivity
raw_tcn,2,humidity,3,14.973945102599146,-14.259198121890199,-0.032249956075743984,1600,3,v1.3,post_hoc_external_sensitivity
raw_tcn,2,humidity,4,17.560474065303936,-17.329175793374905,-0.026067414626688445,2323,3,v1.3,post_hoc_external_sensitivity
raw_tcn,2,humidity,5,20.95975313677758,-20.78889807249885,0.02736785774169846,1897,3,v1.3,post_hoc_external_sensitivity
raw_tcn,2,humidity,6,24.9980883812115,-24.9980883812115,0.1199845182030111,2071,3,v1.3,post_hoc_external_sensitivity
raw_tcn,2,humidity,7,18.117243929451103,-18.0867899466153,0.06791115004062039,2096,3,v1.3,post_hoc_external_sensitivity
raw_tcn,2,temperature,1,2.94877261157736,-2.8625149915478887,0.06241640851375713,2148,3,v1.3,post_hoc_external_sensitivity
raw_tcn,2,temperature,2,2.853433550747752,-2.7648364471170184,0.04027821034176989,1614,3,v1.3,post_hoc_external_sensitivity
raw_tcn,2,temperature,3,1.8476413077322282,-1.6587572348230513,-0.13373968642402667,1600,3,v1.3,post_hoc_external_sensitivity
raw_tcn,2,temperature,4,2.5184031420781294,-2.4479594511678857,-0.25228711371047846,2323,3,v1.3,post_hoc_external_sensitivity
raw_tcn,2,temperature,5,2.601030083232734,-2.5824487612188265,0.10696204833249563,1897,3,v1.3,post_hoc_external_sensitivity
raw_tcn,2,temperature,6,2.397404160188495,-2.3376457424845163,-0.07760447195268895,2071,3,v1.3,post_hoc_external_sensitivity
raw_tcn,2,temperature,7,2.7086431370093647,-2.6996240766334183,0.09867025904843006,2096,3,v1.3,post_hoc_external_sensitivity
raw_tcn,3,humidity,1,20.003438615012936,-20.003438615012936,0.1925496536045973,2148,3,v1.3,post_hoc_external_sensitivity
raw_tcn,3,humidity,2,23.28793447232781,-23.259061240303392,0.1144319008431408,1614,3,v1.3,post_hoc_external_sensitivity
raw_tcn,3,humidity,3,15.721031539978332,-15.521276950163397,-0.06214645490876652,1600,3,v1.3,post_hoc_external_sensitivity
raw_tcn,3,humidity,4,18.78066877922991,-18.78066877922991,-0.018400626031105045,2323,3,v1.3,post_hoc_external_sensitivity
raw_tcn,3,humidity,5,22.323832997222212,-22.220020561143993,-0.022347529103953743,1897,3,v1.3,post_hoc_external_sensitivity
raw_tcn,3,humidity,6,26.313729637006688,-26.313729637006688,0.1289273637675654,2071,3,v1.3,post_hoc_external_sensitivity
raw_tcn,3,humidity,7,19.18013768875538,-19.178606643371495,0.048292830402322885,2096,3,v1.3,post_hoc_external_sensitivity
raw_tcn,3,temperature,1,3.000588902639864,-2.9540877270719084,0.052593663462812267,2148,3,v1.3,post_hoc_external_sensitivity
raw_tcn,3,temperature,2,2.9916504154137216,-2.9443431360865673,0.18298018657817497,1614,3,v1.3,post_hoc_external_sensitivity
raw_tcn,3,temperature,3,1.9063449745959042,-1.8479122631584772,-0.12248557252298353,1600,3,v1.3,post_hoc_external_sensitivity
raw_tcn,3,temperature,4,2.643780500357401,-2.6187764443616004,-0.2591232479768382,2323,3,v1.3,post_hoc_external_sensitivity
raw_tcn,3,temperature,5,2.8705060283378683,-2.8636004801496924,0.13013179275389206,1897,3,v1.3,post_hoc_external_sensitivity
raw_tcn,3,temperature,6,2.593123142786664,-2.5696473162905935,-0.029554798133215928,2071,3,v1.3,post_hoc_external_sensitivity
raw_tcn,3,temperature,7,2.942671468094924,-2.9413172414012934,0.040562284368857886,2096,3,v1.3,post_hoc_external_sensitivity
training_mean,,humidity,1,12.661747573667256,-12.661747573667256,nan,2148,1,v1.3,post_hoc_external_sensitivity
training_mean,,humidity,2,15.585975523242555,-15.585975523242555,nan,1614,1,v1.3,post_hoc_external_sensitivity
training_mean,,humidity,3,8.699509445175636,-8.699509445175636,nan,1600,1,v1.3,post_hoc_external_sensitivity
training_mean,,humidity,4,9.566423188180371,-9.566423188180371,nan,2323,1,v1.3,post_hoc_external_sensitivity
training_mean,,humidity,5,13.237185710331149,-13.237185710331149,nan,1897,1,v1.3,post_hoc_external_sensitivity
training_mean,,humidity,6,17.706862475112867,-17.706862475112867,nan,2071,1,v1.3,post_hoc_external_sensitivity
training_mean,,humidity,7,12.608216506244341,-12.608216506244341,nan,2096,1,v1.3,post_hoc_external_sensitivity
training_mean,,temperature,1,2.7440549732320667,-2.7365158289598908,nan,2148,1,v1.3,post_hoc_external_sensitivity
training_mean,,temperature,2,2.641137129064709,-2.6337886443392873,nan,1614,1,v1.3,post_hoc_external_sensitivity
training_mean,,temperature,3,1.6659571697420137,-1.6659571697420137,nan,1600,1,v1.3,post_hoc_external_sensitivity
training_mean,,temperature,4,2.345662439117874,-2.341833192126861,nan,2323,1,v1.3,post_hoc_external_sensitivity
training_mean,,temperature,5,2.5050695426049723,-2.504829072746758,nan,1897,1,v1.3,post_hoc_external_sensitivity
training_mean,,temperature,6,2.2811898239173045,-2.277555431451333,nan,2071,1,v1.3,post_hoc_external_sensitivity
training_mean,,temperature,7,2.72003545488539,-2.719926635390869,nan,2096,1,v1.3,post_hoc_external_sensitivity
