subject_id,budget_nights,seed,stratum_type,stratum,target,metric,value,seed_sd,n_windows,n_nights
User02,0,2,device,22480,humidity,mae,13.96111552503289,,36543,30
User02,0,2,device,22480,humidity,rmse,15.741798222297817,,36543,30
User02,0,2,device,22480,humidity,bias,-13.523595105876014,,36543,30
User02,0,2,device,22482,temperature,mae,6.106041206215337,,59296,35
User02,0,2,device,22482,temperature,rmse,6.306453675082529,,59296,35
User02,0,2,device,22482,temperature,bias,-6.106041206215337,,59296,35
User02,0,2,device,22482,humidity,mae,27.86166506443096,,59296,35
User02,0,2,device,22482,humidity,rmse,31.62541010776397,,59296,35
User02,0,2,device,22482,humidity,bias,-27.278861940283758,,59296,35
User02,0,2,device_x_channel_quality_phase,22482/normal,temperature,mae,6.530624231870255,,23134,13
User02,0,2,device_x_channel_quality_phase,22482/normal,temperature,rmse,6.72262547097963,,23134,13
User02,0,2,device_x_channel_quality_phase,22482/normal,temperature,bias,-6.530624231870255,,23134,13
User02,0,2,device_x_channel_quality_phase,22482/normal,humidity,mae,28.174204266630486,,23134,13
User02,0,2,device_x_channel_quality_phase,22482/normal,humidity,rmse,30.238738045079703,,23134,13
User02,0,2,device_x_channel_quality_phase,22482/normal,humidity,bias,-28.113581939512887,,23134,13
User02,0,2,device_x_channel_quality_phase,22482/p1_transition,temperature,mae,7.17928810840604,,2485,1
User02,0,2,device_x_channel_quality_phase,22482/p1_transition,temperature,rmse,7.347715783146957,,2485,1
User02,0,2,device_x_channel_quality_phase,22482/p1_transition,temperature,bias,-7.17928810840604,,2485,1
User02,0,2,device_x_channel_quality_phase,22482/p1_transition,humidity,mae,36.58580602208413,,2485,1
User02,0,2,device_x_channel_quality_phase,22482/p1_transition,humidity,rmse,37.48583004523106,,2485,1
User02,0,2,device_x_channel_quality_phase,22482/p1_transition,humidity,bias,-36.58580602208413,,2485,1
User02,0,2,device_x_channel_quality_phase,22482/p1_response_shift,temperature,mae,5.735185065007843,,33677,21
User02,0,2,device_x_channel_quality_phase,22482/p1_response_shift,temperature,rmse,5.9158641005002774,,33677,21
