target,subject_id,mean_minus_tcn,mean_ci_lower,mean_ci_upper,median_minus_tcn,median_ci_lower,median_ci_upper,exceeds_level_baselines,case
temperature,User01,0.11008300036527352,-0.045527262993691094,0.24927597123489423,0.4753518950160722,0.30405476299569606,0.6263461248229801,False,
temperature,User02,-0.33160793681979417,-0.35347144544721404,-0.3101880006005759,-0.40602349481234956,-0.4278870034397641,-0.38460355859312,False,
temperature,User07,-0.07906020468886865,-0.19364209266438193,0.027775181374141974,-0.44855346109651917,-0.5768602639732514,-0.31449782499785434,False,
temperature,ALL,,,,,,,0,A
humidity,User01,3.1811513824584416,2.774038217393584,3.5715910094386927,1.7659841998072778,1.4209964461560827,2.1018688299000705,True,
humidity,User02,1.6437662270598246,1.3518506872414326,1.9351660925807355,2.253856948741859,1.915612944435516,2.5709790686411877,True,
humidity,User07,-2.4389795451088307,-3.2855494734964226,-1.6041780646573534,-2.0638255497178157,-3.696383549202361,-0.4343876277613589,False,
humidity,ALL,,,,,,,2,C
