subject_id,on_windows_full,on_nights_full,on_share_pct_full,eta_raw_full,eta_night_centred_full,eta_night_x_mat_centred_full,mae_source_mean_common,mae_source_median_common,mae_heater_conditioned_common,delta_mae,ci_lower,ci_upper,interval,mae_hgb_900_common
User01,37750,139,13.042561939213023,0.10286866896714852,0.15170857283382147,,2.7498776327045786,3.115146527355351,2.2030301504052265,0.5468474822993366,0.480239173946101,0.6175071902574343,above_zero,2.1836158122686125
User02,36,12,0.025000173612316753,0.0037379783204890926,0.0068518739883658124,0.0411461961610269,4.807136608231925,4.732721050239299,4.822554871503206,-0.01541826327128959,-0.018852676757252218,-0.01241945351531011,below_zero,4.959335814961659
User07,5009,43,3.553213072192153,0.046776957445214845,0.1084147443553441,,2.041242309529914,1.6717490531222685,1.8743445107597285,0.1668977987701914,0.11184621416285499,0.22185944970943897,above_zero,1.7648878623584352
