model,fold,subject_id,stratum_type,stratum,target,metric,value,seed_sd,n_windows,source
training_mean,2,User02,device_x_channel_quality_phase,22482/p1_response_shift,humidity,bias,-28.202116207642227,,33677,p3_frozen
training_mean,2,User02,device_x_channel_quality_phase,22482/p1_transition,temperature,mae,6.807693220717213,,2485,p3_frozen
training_mean,2,User02,device_x_channel_quality_phase,22482/p1_transition,temperature,rmse,6.9732978118672335,,2485,p3_frozen
training_mean,2,User02,device_x_channel_quality_phase,22482/p1_transition,temperature,bias,-6.807693220717213,,2485,p3_frozen
training_mean,2,User02,device_x_channel_quality_phase,22482/p1_transition,humidity,mae,37.72617103337485,,2485,p3_frozen
training_mean,2,User02,device_x_channel_quality_phase,22482/p1_transition,humidity,rmse,38.486269136043816,,2485,p3_frozen
training_mean,2,User02,device_x_channel_quality_phase,22482/p1_transition,humidity,bias,-37.72617103337485,,2485,p3_frozen
training_mean,3,User07,overall,all,temperature,mae,1.8151603533251963,,140971,p3_frozen
training_mean,3,User07,overall,all,temperature,rmse,2.168557676765581,,140971,p3_frozen
training_mean,3,User07,overall,all,temperature,bias,1.0977480763235399,,140971,p3_frozen
training_mean,3,User07,overall,all,humidity,mae,7.993739161152008,,140971,p3_frozen
training_mean,3,User07,overall,all,humidity,rmse,9.611831804132422,,140971,p3_frozen
training_mean,3,User07,overall,all,humidity,bias,-2.1218525911060846,,140971,p3_frozen
RAW,1,User01,overall,all,temperature,mae,3.124593550627388,0.26485592857287377,289437,p3_frozen
RAW,1,User01,overall,all,temperature,rmse,3.7927588303872057,0.31802753034778,289437,p3_frozen
RAW,1,User01,overall,all,temperature,bias,1.8576050353324327,0.22356593504485767,289437,p3_frozen
RAW,1,User01,overall,all,humidity,mae,20.284759363758678,1.2696236254812967,289437,p3_frozen
RAW,1,User01,overall,all,humidity,rmse,23.2435337416165,1.4000517576608629,289437,p3_frozen
RAW,1,User01,overall,all,humidity,bias,19.043324219034286,1.3934293927767374,289437,p3_frozen
