fold,subject_id,target,first,second,role,point_estimate,ci_lower,ci_upper,interval,n_nights,n_windows,n_resamples,rng_seed,level
2,User02,humidity,training_mean_common,ridge_h40,model_vs_level_baseline,1.6156628217894209,1.4182362459635875,1.784365645210177,above_zero,51,74802,2000,0,0.95
2,User02,temperature,training_mean_common,ridge_h300,model_vs_level_baseline,-0.11090446283599587,-0.12415695493097985,-0.09901330425323832,below_zero,51,74802,2000,0,0.95
2,User02,humidity,training_mean_common,ridge_h300,model_vs_level_baseline,2.4816781583401095,2.1766388691049703,2.743505751433412,above_zero,51,74802,2000,0,0.95
2,User02,temperature,training_mean_common,ridge_h900,model_vs_level_baseline,-0.09127819183074326,-0.11035942954966359,-0.07314339271593967,below_zero,51,74802,2000,0,0.95
2,User02,humidity,training_mean_common,ridge_h900,model_vs_level_baseline,3.1683533113206543,2.730261679188421,3.528468093293203,above_zero,51,74802,2000,0,0.95
2,User02,temperature,ridge_h40,ridge_h300,longer_history,0.061484660880581465,0.0535104198234452,0.06932926099815678,above_zero,51,74802,2000,0,0.95
2,User02,humidity,ridge_h40,ridge_h300,longer_history,0.8660153365506886,0.7467459941175214,0.9646612256792783,above_zero,51,74802,2000,0,0.95
2,User02,temperature,ridge_h40,ridge_h900,longer_history,0.08111093188583407,0.067037880680921,0.09510786149182486,above_zero,51,74802,2000,0,0.95
2,User02,humidity,ridge_h40,ridge_h900,longer_history,1.5526904895312335,1.3036750403191537,1.7619278136777925,above_zero,51,74802,2000,0,0.95
2,User02,temperature,raw_tcn_seed0,ridge_h40,descriptive_different_training_pool,-0.0230235601926001,-0.04856599105398205,0.0010924285137983566,includes_zero,51,74802,2000,0,0.95
2,User02,humidity,raw_tcn_seed0,ridge_h40,descriptive_different_training_pool,-1.4912878459925665,-1.8152287636165367,-1.168843644523443,below_zero,51,74802,2000,0,0.95
2,User02,temperature,raw_tcn_seed0,ridge_h300,descriptive_different_training_pool,0.038461100687981364,0.008971145937439662,0.0660732082218068,above_zero,51,74802,2000,0,0.95
2,User02,humidity,raw_tcn_seed0,ridge_h300,descriptive_different_training_pool,-0.6252725094418778,-0.9393076359363854,-0.3353544540637053,below_zero,51,74802,2000,0,0.95
2,User02,temperature,raw_tcn_seed0,ridge_h900,descriptive_different_training_pool,0.05808737169323397,0.025133762626771698,0.08901904220409003,above_zero,51,74802,2000,0,0.95
2,User02,humidity,raw_tcn_seed0,ridge_h900,descriptive_different_training_pool,0.06140264353866698,-0.28467643867430836,0.3830084175548733,includes_zero,51,74802,2000,0,0.95
2,User02,temperature,training_mean_common,hgb_h40,model_vs_level_baseline,-0.2795176983034855,-0.30459883324786385,-0.25447793556983994,below_zero,51,74802,2000,0,0.95
2,User02,humidity,training_mean_common,hgb_h40,model_vs_level_baseline,1.95924790450373,1.6235964273534378,2.313442078439522,above_zero,51,74802,2000,0,0.95
2,User02,temperature,training_mean_common,hgb_h300,model_vs_level_baseline,-0.22698189005334424,-0.2537016925555347,-0.19878927064328814,below_zero,51,74802,2000,0,0.95
2,User02,humidity,training_mean_common,hgb_h300,model_vs_level_baseline,2.0182933840838295,1.6202733086980339,2.418892793142672,above_zero,51,74802,2000,0,0.95
2,User02,temperature,training_mean_common,hgb_h900,model_vs_level_baseline,-0.15219920672980436,-0.19342983381104642,-0.10726547554343539,below_zero,51,74802,2000,0,0.95
2,User02,humidity,training_mean_common,hgb_h900,model_vs_level_baseline,2.7814416407914564,2.295491506249563,3.2704367257507863,above_zero,51,74802,2000,0,0.95
2,User02,temperature,hgb_h40,hgb_h300,longer_history,0.05253580825014126,0.03701613134807635,0.06914225021139024,above_zero,51,74802,2000,0,0.95
2,User02,humidity,hgb_h40,hgb_h300,longer_history,0.059045479580099425,-0.16635198338504797,0.30395235463542053,includes_zero,51,74802,2000,0,0.95
2,User02,temperature,hgb_h40,hgb_h900,longer_history,0.12731849157368114,0.09592375259383887,0.16025746716052033,above_zero,51,74802,2000,0,0.95
2,User02,humidity,hgb_h40,hgb_h900,longer_history,0.8221937362877263,0.5051373295746533,1.1320923448864206,above_zero,51,74802,2000,0,0.95
2,User02,temperature,raw_tcn_seed0,hgb_h40,descriptive_different_training_pool,-0.13015213477950827,-0.15392681502726038,-0.10695810910241402,below_zero,51,74802,2000,0,0.95
2,User02,humidity,raw_tcn_seed0,hgb_h40,descriptive_different_training_pool,-1.1477027632782573,-1.3669975177440628,-0.9141391875887588,below_zero,51,74802,2000,0,0.95
2,User02,temperature,raw_tcn_seed0,hgb_h300,descriptive_different_training_pool,-0.07761632652936701,-0.10201776985740119,-0.05321489770957846,below_zero,51,74802,2000,0,0.95
2,User02,humidity,raw_tcn_seed0,hgb_h300,descriptive_different_training_pool,-1.0886572836981578,-1.2540379159192392,-0.9099367306898739,below_zero,51,74802,2000,0,0.95
2,User02,temperature,raw_tcn_seed0,hgb_h900,descriptive_different_training_pool,-0.00283364320582713,-0.038761561014188914,0.035223096708285946,includes_zero,51,74802,2000,0,0.95
2,User02,humidity,raw_tcn_seed0,hgb_h900,descriptive_different_training_pool,-0.32550902699053097,-0.5314970432106404,-0.09837286708015706,below_zero,51,74802,2000,0,0.95
3,User07,temperature,training_mean_common,ridge_h40,model_vs_level_baseline,-0.1709177321411426,-0.22144951174516364,-0.12112551407281197,below_zero,93,61782,2000,0,0.95
3,User07,humidity,training_mean_common,ridge_h40,model_vs_level_baseline,-1.2487075095878133,-1.938957526910974,-0.581816613547308,below_zero,93,61782,2000,0,0.95
3,User07,temperature,training_mean_common,ridge_h300,model_vs_level_baseline,-0.10618563726728647,-0.1743287003945887,-0.040670035975563526,below_zero,93,61782,2000,0,0.95
3,User07,humidity,training_mean_common,ridge_h300,model_vs_level_baseline,-1.377433575320703,-2.1566795457055843,-0.6554632914989519,below_zero,93,61782,2000,0,0.95
3,User07,temperature,training_mean_common,ridge_h900,model_vs_level_baseline,-0.07622372788947107,-0.16531178654837284,0.0056667147778151,includes_zero,93,61782,2000,0,0.95
3,User07,humidity,training_mean_common,ridge_h900,model_vs_level_baseline,-1.5083583705029078,-2.4365561683367245,-0.6715800785421675,below_zero,93,61782,2000,0,0.95
3,User07,temperature,ridge_h40,ridge_h300,longer_history,0.06473209487385612,0.03444600572344756,0.09439031930410488,above_zero,93,61782,2000,0,0.95
3,User07,humidity,ridge_h40,ridge_h300,longer_history,-0.1287260657328897,-0.30832805671244745,0.041848492492935825,includes_zero,93,61782,2000,0,0.95
3,User07,temperature,ridge_h40,ridge_h900,longer_history,0.09469400425167152,0.04261021030045866,0.14421828668402104,above_zero,93,61782,2000,0,0.95
3,User07,humidity,ridge_h40,ridge_h900,longer_history,-0.2596508609150945,-0.601916690519502,0.048959432992609846,includes_zero,93,61782,2000,0,0.95
3,User07,temperature,raw_tcn_seed0,ridge_h40,descriptive_different_training_pool,-0.25085548602945607,-0.3571851166359324,-0.13295545402996742,below_zero,93,61782,2000,0,0.95
3,User07,humidity,raw_tcn_seed0,ridge_h40,descriptive_different_training_pool,0.8278582052384706,0.3840853805063154,1.3055560193948983,above_zero,93,61782,2000,0,0.95
3,User07,temperature,raw_tcn_seed0,ridge_h300,descriptive_different_training_pool,-0.18612339115559995,-0.2820985037593471,-0.07887026861721351,below_zero,93,61782,2000,0,0.95
3,User07,humidity,raw_tcn_seed0,ridge_h300,descriptive_different_training_pool,0.699132139505581,0.23249173181096222,1.1688675369130122,above_zero,93,61782,2000,0,0.95
3,User07,temperature,raw_tcn_seed0,ridge_h900,descriptive_different_training_pool,-0.15616148177778455,-0.2509240238733206,-0.05146622187126231,below_zero,93,61782,2000,0,0.95
3,User07,humidity,raw_tcn_seed0,ridge_h900,descriptive_different_training_pool,0.5682073443233762,-0.012350147754888068,1.1185454815004354,includes_zero,93,61782,2000,0,0.95
3,User07,temperature,training_mean_common,hgb_h40,model_vs_level_baseline,-0.05282952780694039,-0.17957593957682355,0.0653233378322471,includes_zero,93,61782,2000,0,0.95
3,User07,humidity,training_mean_common,hgb_h40,model_vs_level_baseline,-2.39374598075603,-3.139824743142824,-1.6364273336374158,below_zero,93,61782,2000,0,0.95
3,User07,temperature,training_mean_common,hgb_h300,model_vs_level_baseline,0.22886921408684402,0.08061540881457838,0.3622850281351324,above_zero,93,61782,2000,0,0.95
3,User07,humidity,training_mean_common,hgb_h300,model_vs_level_baseline,-1.8239972349016327,-2.4448591521695615,-1.1983483085406816,below_zero,93,61782,2000,0,0.95
3,User07,temperature,training_mean_common,hgb_h900,model_vs_level_baseline,0.27635444717148383,0.09919591997745612,0.43766362350832516,above_zero,93,61782,2000,0,0.95
3,User07,humidity,training_mean_common,hgb_h900,model_vs_level_baseline,-1.6644814002428845,-2.3563687475943804,-0.9795555613137179,below_zero,93,61782,2000,0,0.95
3,User07,temperature,hgb_h40,hgb_h300,longer_history,0.2816987418937844,0.20326872805686697,0.3652443200046019,above_zero,93,61782,2000,0,0.95
3,User07,humidity,hgb_h40,hgb_h300,longer_history,0.5697487458543975,0.15009044863015195,1.0111353497087547,above_zero,93,61782,2000,0,0.95
3,User07,temperature,hgb_h40,hgb_h900,longer_history,0.3291839749784242,0.21531142858073757,0.4534502348703062,above_zero,93,61782,2000,0,0.95
3,User07,humidity,hgb_h40,hgb_h900,longer_history,0.7292645805131457,0.19068489183314116,1.2392038742481637,above_zero,93,61782,2000,0,0.95
3,User07,temperature,raw_tcn_seed0,hgb_h40,descriptive_different_training_pool,-0.13276728169525387,-0.1695782882355328,-0.09368263298044711,below_zero,93,61782,2000,0,0.95
3,User07,humidity,raw_tcn_seed0,hgb_h40,descriptive_different_training_pool,-0.31718026592974624,-0.5243258607543589,-0.11814825455953791,below_zero,93,61782,2000,0,0.95
3,User07,temperature,raw_tcn_seed0,hgb_h300,descriptive_different_training_pool,0.14893146019853054,0.06434559507865673,0.23227952594598017,above_zero,93,61782,2000,0,0.95
3,User07,humidity,raw_tcn_seed0,hgb_h300,descriptive_different_training_pool,0.25256847992465126,-0.1551274166130046,0.7023228400204167,includes_zero,93,61782,2000,0,0.95
3,User07,temperature,raw_tcn_seed0,hgb_h900,descriptive_different_training_pool,0.19641669328317035,0.0742704724480027,0.31908306117898727,above_zero,93,61782,2000,0,0.95
3,User07,humidity,raw_tcn_seed0,hgb_h900,descriptive_different_training_pool,0.41208431458339945,-0.12200535036084721,0.9631427885513683,includes_zero,93,61782,2000,0,0.95
