subject_id,fold,target,predictor,seed,mae,rmse,bias,n_windows,n_nights,source,mae_seed_sd
User01,1,temperature,training_mean,,2.734975170432229,3.180678089712951,2.6371483450922977,289437,151,recomputed,
User01,1,temperature,training_median,,3.220009881252224,3.655895010456008,3.194277165669904,289437,151,recomputed,
User01,1,humidity,training_mean,,23.057883807414225,24.666100333488156,22.23234574387157,289437,151,recomputed,
User01,1,humidity,training_median,,21.339179165068735,23.05136174087944,20.42610999975815,289437,151,recomputed,
User01,1,temperature,raw_tcn,0,2.8450700587071283,3.486923896172811,1.6353146651266548,289437,151,frozen_predictions,
User01,1,humidity,raw_tcn,0,18.94372128637778,21.803930018860633,17.576232664876063,289437,151,frozen_predictions,
User01,1,temperature,raw_tcn,1,3.371819830265972,4.121716789483223,2.082425067247689,289437,151,frozen_predictions,
User01,1,humidity,raw_tcn,1,20.442290286952105,23.326310670044492,19.20470109496414,289437,151,frozen_predictions,
User01,1,temperature,raw_tcn,2,3.1568907629090637,3.769635805505583,1.8550753736229544,289437,151,frozen_predictions,
User01,1,humidity,raw_tcn,2,21.468266517946144,24.60036053594436,20.34903889726266,289437,151,frozen_predictions,
User01,1,temperature,raw_tcn,mean,3.124593550627388,3.7927588303872057,1.8576050353324327,289437,151,frozen_predictions,0.26485592857287377
User01,1,humidity,raw_tcn,mean,20.284759363758678,23.2435337416165,19.043324219034286,289437,151,frozen_predictions,1.2696236254812967
User02,2,temperature,training_mean,,4.591746941300422,4.9857234906260235,-4.591746941300422,143999,51,recomputed,
User02,2,temperature,training_median,,4.554677463037938,4.951604340448059,-4.554677463037938,143999,51,recomputed,
User02,2,humidity,training_mean,,27.62948740904652,31.081750244801675,-27.494997552304806,143999,51,recomputed,
User02,2,humidity,training_median,,28.312585504066,31.71230370129388,-28.205848651726747,143999,51,recomputed,
User02,2,temperature,raw_tcn,0,4.753325550353704,5.195197016752094,-4.753325550353704,143999,51,frozen_predictions,
User02,2,humidity,raw_tcn,0,24.322879639648473,28.738022730571075,-23.868927822057337,143999,51,frozen_predictions,
User02,2,temperature,raw_tcn,1,4.836182893234956,5.2732934132056775,-4.836182893234956,143999,51,frozen_predictions,
User02,2,humidity,raw_tcn,1,24.25969404605863,28.65142485042596,-23.814554319229828,143999,51,frozen_predictions,
User02,2,temperature,raw_tcn,2,4.877933869264781,5.304070584274466,-4.877933869264781,143999,51,frozen_predictions,
User02,2,humidity,raw_tcn,2,25.1911722388532,29.554036016685036,-24.836123426626482,143999,51,frozen_predictions,
User02,2,temperature,raw_tcn,mean,4.822480770951146,5.257520338077413,-4.822480770951146,143999,51,frozen_predictions,0.0634241231848851
User02,2,humidity,raw_tcn,mean,24.5912486415201,28.98116119922736,-24.173201855971215,143999,51,frozen_predictions,0.5205087384349458
User07,3,temperature,training_mean,,1.8151603533251963,2.168557676765581,1.0977480763235399,140971,100,recomputed,
User07,3,temperature,training_median,,1.6591284732320832,2.001951577080328,0.7142958480822297,140971,100,recomputed,
User07,3,humidity,training_mean,,7.993739161152008,9.611831804132422,-2.1218525911060846,140971,100,recomputed,
User07,3,humidity,training_median,,9.392023891438665,11.823412582778703,-7.2047229572039635,140971,100,recomputed,
User07,3,temperature,raw_tcn,0,1.8652832179110528,2.32354086008119,0.987036235415414,140971,100,frozen_predictions,
User07,3,humidity,raw_tcn,0,9.796066850817262,12.085972576138474,1.0533293448110084,140971,100,frozen_predictions,
User07,3,temperature,raw_tcn,1,2.2499074806839525,2.773851190325846,1.7767200583051042,140971,100,frozen_predictions,
User07,3,humidity,raw_tcn,1,10.311602308710736,12.715562564336876,4.550357601099634,140971,100,frozen_predictions,
User07,3,temperature,raw_tcn,2,2.019448363803811,2.5005261602649687,1.436736789406948,140971,100,frozen_predictions,
User07,3,humidity,raw_tcn,2,9.807635363706833,12.081934860629266,3.6806841042732987,140971,100,frozen_predictions,
User07,3,temperature,raw_tcn,mean,2.0448796874662722,2.5326394035573347,1.4001643610424885,140971,100,frozen_predictions,0.19356916088524484
User07,3,humidity,raw_tcn,mean,9.97176817441161,12.294490000368206,3.0947903500613134,140971,100,frozen_predictions,0.2943618296395546
