subject_id,target,budget_nights,metric,seed,n_nights,n_windows,base_value,adapted_value,point_estimate,ci_lower,ci_upper,interval,night_mean_delta,night_median_delta,proportion_nights_improved,n_resamples,rng_seed,level
User01,temperature,1,rmse,0,136,265852,3.4545021794818416,3.3800514402621937,0.07445073921964784,-0.025930508670173758,0.1779688462748686,includes_zero,0.10813911567200417,0.027355225864652333,0.5147058823529411,2000,0,0.95
User01,temperature,3,rmse,0,136,265852,3.4545021794818416,3.3006697959527713,0.15383238352907025,-0.044510413871717995,0.35457541197538406,includes_zero,0.3068802127450456,0.09526413189941696,0.5147058823529411,2000,0,0.95
User01,temperature,7,rmse,0,136,265852,3.4545021794818416,2.711582455515873,0.7429197239659686,0.5698027852932186,0.917421333176094,above_zero,0.863005235618034,0.5919894470739987,0.6838235294117647,2000,0,0.95
User01,temperature,14,rmse,0,136,265852,3.4545021794818416,2.0811377201902577,1.373364459291584,1.224710243455657,1.5232809474537743,above_zero,1.4544004856499642,1.1924485652611436,0.9926470588235294,2000,0,0.95
User01,humidity,1,rmse,0,136,265852,22.05854497838365,27.870417965916996,-5.811872987533345,-6.096224580474686,-5.539842942728576,below_zero,-5.8934126067104,-5.505947486694677,0.0,2000,0,0.95
User01,humidity,3,rmse,0,136,265852,22.05854497838365,35.34485716801323,-13.286312189629577,-13.73164928173754,-12.865670368218655,below_zero,-13.504492779300469,-12.818809984630395,0.0,2000,0,0.95
User01,humidity,7,rmse,0,136,265852,22.05854497838365,31.815996000158904,-9.757451021775253,-10.270626060604023,-9.27431409276609,below_zero,-10.051649985584788,-9.674945983645252,0.0,2000,0,0.95
User01,humidity,14,rmse,0,136,265852,22.05854497838365,19.044896228737798,3.013648749645853,2.187439693187836,3.8003329439884306,above_zero,3.416955401126337,4.200590439028158,0.8308823529411765,2000,0,0.95
User02,temperature,1,rmse,0,36,95839,5.32268021338516,4.71978541110746,0.6028948022777003,0.5818695279795869,0.6260283093786588,above_zero,0.626117666076569,0.625015217893127,1.0,2000,0,0.95
User02,temperature,3,rmse,0,36,95839,5.32268021338516,3.5156295263869954,1.8070506869981648,1.7790987272433316,1.8409508797068919,above_zero,1.8629223368864807,1.841743582016905,1.0,2000,0,0.95
User02,temperature,7,rmse,0,36,95839,5.32268021338516,2.47566203287168,2.8470181805134804,2.7831881620935803,2.9210772949934127,above_zero,2.9326376661017894,2.9376890062572283,1.0,2000,0,0.95
User02,temperature,14,rmse,0,36,95839,5.32268021338516,2.0036431098568888,3.3190371035282715,3.216823632357982,3.432551672644639,above_zero,3.3881232568458888,3.3678179479828696,1.0,2000,0,0.95
User02,humidity,1,rmse,0,36,95839,25.873973391913832,21.200787122461932,4.6731862694519,4.163077097516989,5.076528942975411,above_zero,4.087472967991704,5.072264029391096,0.8611111111111112,2000,0,0.95
User02,humidity,3,rmse,0,36,95839,25.873973391913832,14.663655838896569,11.210317553017264,8.468834078185683,13.397407077618974,above_zero,8.801044839662556,14.348974577299975,0.7777777777777778,2000,0,0.95
User02,humidity,7,rmse,0,36,95839,25.873973391913832,18.38386825838864,7.490105133525191,2.37061947560738,12.192161034451571,above_zero,5.45801809188749,11.16990270325598,0.6666666666666666,2000,0,0.95
User02,humidity,14,rmse,0,36,95839,25.873973391913832,14.907534010651556,10.966439381262276,6.423094136093985,15.095432875992463,above_zero,8.838537930954764,15.799397912433221,0.75,2000,0,0.95
User07,temperature,1,rmse,0,85,114838,2.20924496986014,2.6103841167773023,-0.4011391469171621,-0.786863573172086,0.019947920570390375,includes_zero,-0.17519429266416192,-0.6544578026932275,0.43529411764705883,2000,0,0.95
User07,temperature,3,rmse,0,85,114838,2.20924496986014,2.8251087822042087,-0.6158638123440685,-1.0293175725756056,-0.16557013630834505,below_zero,-0.3286909963556481,-0.9813895842978384,0.4235294117647059,2000,0,0.95
User07,temperature,7,rmse,0,85,114838,2.20924496986014,2.795078557207696,-0.585833587347556,-0.9947963325062458,-0.13134351079198264,below_zero,-0.29317943032459926,-0.9787839596787098,0.43529411764705883,2000,0,0.95
User07,temperature,14,rmse,0,85,114838,2.20924496986014,2.8356008592667195,-0.6263558894065793,-1.0414186838122221,-0.16721909267416818,below_zero,-0.3245626225154942,-1.0144951991377182,0.43529411764705883,2000,0,0.95
User07,humidity,1,rmse,0,85,114838,12.348376454975673,10.33990502062687,2.0084714343488024,0.9529552076220583,3.066732210855286,above_zero,2.665124301960926,3.5982442783972015,0.7058823529411765,2000,0,0.95
User07,humidity,3,rmse,0,85,114838,12.348376454975673,9.827376240811283,2.52100021416439,1.7152084788332673,3.3849817610707533,above_zero,3.053817270373342,3.4489150408753835,0.8,2000,0,0.95
User07,humidity,7,rmse,0,85,114838,12.348376454975673,9.942116221638567,2.4062602333371057,1.4854351800623642,3.3881314149304846,above_zero,3.024971120348305,3.0922055001540683,0.788235294117647,2000,0,0.95
User07,humidity,14,rmse,0,85,114838,12.348376454975673,9.712740241020404,2.6356362139552694,2.0084851845428444,3.3041809533732764,above_zero,3.087770086221539,3.0487506453283437,0.9294117647058824,2000,0,0.95
