subject_id,target,predictor,predictor_name,seed,mae,mae_seed_sd,rmse,bias,err_sd,target_sd,R,n_windows,n_nights
User01,temperature,C,raw_tcn_base,mean,3.0923339435499746,0.2554268871522685,3.7599438963115657,1.9026926981463343,3.2424755966713277,1.7745063237281102,1.82725502485622,265852,136
User01,temperature,B,adaptation_target_mean,,1.870824675575304,,2.27411276937324,1.422222273371984,1.7745063237281105,1.7745063237281102,1.0000000000000002,265852,136
User01,temperature,B,adaptation_target_mean,,1.870824675575304,,2.27411276937324,1.422222273371984,1.7745063237281105,1.7745063237281102,1.0000000000000002,265852,136
User01,temperature,E,full_fine_tuning,0,1.7116959553467817,,2.0811377201902577,1.1132614060977635,1.7583467383004792,1.7745063237281102,0.9908934754350828,265852,136
User01,temperature,E,full_fine_tuning,1,1.8080890003611516,,2.1965460533956476,1.269098534476052,1.792819978268519,1.7745063237281102,1.0103204222467537,265852,136
User01,temperature,E,full_fine_tuning,2,1.739556205288495,,2.113098941759874,1.1728618664244004,1.7577207343472316,1.7745063237281102,0.9905406990347528,265852,136
User01,temperature,E,full_fine_tuning,mean,1.7531137203321425,0.049606042398125653,2.1302609051152595,1.185073935666072,1.76962915030541,1.7745063237281102,0.9972515322388631,265852,136
User01,temperature,S,scratch_initialization_control,0,1.7689328863158995,,2.1448027049123364,1.2197980130643433,1.7641631019618214,1.7745063237281102,0.9941712116615293,265852,136
User01,temperature,S,scratch_initialization_control,1,1.7908058920733234,,2.1720398492325463,1.2724095796519361,1.7603212684803096,1.7745063237281102,0.9920061962822432,265852,136
User01,temperature,S,scratch_initialization_control,2,1.7798105461329075,,2.1547910786608595,1.2581662273369763,1.7493262523226105,1.7745063237281102,0.985810097676858,265852,136
User01,temperature,S,scratch_initialization_control,mean,1.77984977484071,0.010936555645389992,2.1572112109352473,1.2501246066844185,1.7579368742549137,1.7745063237281102,0.9906625018735435,265852,136
