model,config_fold,seed,target,mae,rmse,bias,R,Q,r_pooled,r_within,target_sd,identity_gap,constant_prediction,n_windows,n_nights,per_night_r_median,n_nights_eligible,n_nights_too_few_windows,n_nights_zero_target_sd,n_nights_zero_prediction_sd,n_nights_total,protocol_version,status
training_mean,,,temperature,2.4328450132784276,2.6246259402274186,-2.429560340881733,1.0,0.0,nan,nan,0.9929239024866404,0.0,True,13749,7,,,,,,,v1.3,post_hoc_external_sensitivity
training_mean,,,humidity,12.852126680974607,13.441536086353265,-12.852126680974607,1.0,0.0,nan,nan,3.936715907570403,0.0,True,13749,7,,,,,,,v1.3,post_hoc_external_sensitivity
raw_tcn,1,0,temperature,2.6857137741696913,2.9206261490390752,-2.6473582816383185,1.2423024003739684,0.7259830293987442,-0.011201291449895092,-0.0018394526176439855,0.9929239024866404,2.220446049250313e-16,False,13749,7,0.047565222478901374,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,1,0,humidity,20.383345947157295,22.2978423915374,-20.351070531439323,2.314607936066026,2.1373249563110313,0.04930183184073959,0.08292898169155984,3.936715907570403,2.6645352591003757e-15,False,13749,7,0.08206251522012674,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,1,1,temperature,2.697863136645381,2.9175189953987974,-2.6646728862082933,1.1965050953732983,0.6543881929997725,-0.0025982560146521746,0.001822629023881032,0.9929239024866404,4.440892098500626e-16,False,13749,7,0.05466264806816458,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,1,1,humidity,20.65043736066178,22.40956292087658,-20.61811328713444,2.230191581207866,2.053156466232087,0.058859855523760995,0.08861992450509883,3.936715907570403,1.7763568394002505e-15,False,13749,7,0.06356785983591126,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,1,2,temperature,2.789476181228838,2.9941843508363974,-2.764178805996316,1.1590514449481994,0.5775789907204626,-0.008486078676973064,-0.0058933927581269144,0.9929239024866404,4.440892098500626e-16,False,13749,7,0.014871095157253206,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,1,2,humidity,20.532885888600745,21.710004073526722,-20.497678108690987,1.817068836329468,1.5725377231908664,0.054413872676876855,0.08858782754100344,3.936715907570403,4.440892098500626e-16,False,13749,7,0.09004802550244184,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,2,0,temperature,2.4956648306167617,2.747907029553617,-2.4117653967452393,1.326344229655939,0.8388207697462757,-0.033123125814278516,-0.024388120716892753,0.9929239024866404,4.440892098500626e-16,False,13749,7,0.006565699424771367,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
raw_tcn,2,0,humidity,19.237871220206493,21.582563844314308,-19.046901287895246,2.578292624017771,2.4202269594866106,0.04336487525241953,0.09125852463409513,3.936715907570403,8.881784197001252e-16,False,13749,7,0.06968027494675766,7,0,0,0,7,v1.3,post_hoc_external_sensitivity
