stratum_type,stratum,target,seed,quantity,point_estimate,ci_lower,ci_upper,interval,n_nights,n_windows,n_resamples,rng_seed,note
22482_quality_phase,22482/normal,humidity,0,bias_b14,3.003102811460748,-0.9186439511553567,7.493592908465841,includes_zero,13,23134,2000,0,
22482_quality_phase,22482/normal,humidity,0,bias_b0,-27.38300857760832,-31.564732739774538,-22.66194188333433,below_zero,13,23134,2000,0,
22482_quality_phase_x_heater,22482/normal/after_AHON_60min,temperature,0,,,,,,1,1,,,descriptive only (< 10 nights)
22482_quality_phase_x_heater,22482/normal/after_AHON_60min,humidity,0,,,,,,1,1,,,descriptive only (< 10 nights)
22482_quality_phase_x_heater,22482/normal/after_AHOF_60min,temperature,0,delta_mae_b0_minus_b14,3.671626104357795,3.2393173772999346,4.162646284152754,above_zero,12,3003,2000,0,
22482_quality_phase_x_heater,22482/normal/after_AHOF_60min,temperature,0,bias_b14,-1.3274918211628952,-2.10809090657793,-0.5022010345034023,below_zero,12,3003,2000,0,
22482_quality_phase_x_heater,22482/normal/after_AHOF_60min,temperature,0,bias_b0,-5.357192931808595,-6.175298713208203,-4.290367187667683,below_zero,12,3003,2000,0,
22482_quality_phase_x_heater,22482/normal/after_AHOF_60min,humidity,0,delta_mae_b0_minus_b14,26.80725062283699,21.55807179382415,31.021824649794418,above_zero,12,3003,2000,0,
22482_quality_phase_x_heater,22482/normal/after_AHOF_60min,humidity,0,bias_b14,-4.306782999204221,-8.646871250922166,0.31677835463155873,includes_zero,12,3003,2000,0,
22482_quality_phase_x_heater,22482/normal/after_AHOF_60min,humidity,0,bias_b0,-35.03422460974157,-39.374535449796234,-29.818436016056538,below_zero,12,3003,2000,0,
22482_quality_phase_x_heater,22482/normal/no_AHON_AHOF_60min,temperature,0,delta_mae_b0_minus_b14,4.229755062597752,4.129111906108011,4.342013089791336,above_zero,13,20130,2000,0,
22482_quality_phase_x_heater,22482/normal/no_AHON_AHOF_60min,temperature,0,bias_b14,-2.3578767648612766,-2.7130369010297004,-2.0554031318374792,below_zero,13,20130,2000,0,
22482_quality_phase_x_heater,22482/normal/no_AHON_AHOF_60min,temperature,0,bias_b0,-6.631652443759213,-7.0095258909369775,-6.317799171177042,below_zero,13,20130,2000,0,
22482_quality_phase_x_heater,22482/normal/no_AHON_AHOF_60min,humidity,0,delta_mae_b0_minus_b14,17.782713721373916,9.874807835849618,24.35757897728233,above_zero,13,20130,2000,0,
22482_quality_phase_x_heater,22482/normal/no_AHON_AHOF_60min,humidity,0,bias_b14,4.094493589623805,0.12304589262913451,8.706303283629211,above_zero,13,20130,2000,0,
22482_quality_phase_x_heater,22482/normal/no_AHON_AHOF_60min,humidity,0,bias_b0,-26.240748455754133,-30.42822280198724,-21.372667381204927,below_zero,13,20130,2000,0,
22482_quality_phase,22482/p1_response_shift,temperature,0,delta_mae_b0_minus_b14,3.751631032081934,3.6226648920982143,3.876858740719729,above_zero,21,33677,2000,0,
22482_quality_phase,22482/p1_response_shift,temperature,0,bias_b14,-1.6450943356796595,-2.0879532303136266,-1.1834592727962303,below_zero,21,33677,2000,0,
22482_quality_phase,22482/p1_response_shift,temperature,0,bias_b0,-5.5645752316303705,-6.010059204743437,-5.115534970559442,below_zero,21,33677,2000,0,
22482_quality_phase,22482/p1_response_shift,humidity,0,delta_mae_b0_minus_b14,10.70581055794877,0.16228974317164785,21.149433471597032,above_zero,21,33677,2000,0,
22482_quality_phase,22482/p1_response_shift,humidity,0,bias_b14,4.004873159669485,-3.7086958640141705,11.761169484463919,includes_zero,21,33677,2000,0,
