subject_id,fold,target,condition,condition_name,budget_nights,seed,R,Q,r_pooled,r_within,r_within_mat,r2_pooled,oracle_affine,identity_gap,mae,rmse,bias,target_sd,constant_prediction,n_windows,n_nights,status,per_night_r_median,n_nights_eligible,n_nights_too_few_windows,n_nights_zero_target_sd,n_nights_zero_prediction_sd,n_nights_total,protocol_version
User01,1,temperature,A,training_mean,0,,1.0,0.0,nan,nan,nan,nan,nan,4.440892098500626e-16,2.8376755609663435,3.2731400154870927,2.750376859274342,1.7745063237281102,True,265852,136,post_hoc_second_order_diagnostic,,,,,,,v1.2
User01,1,humidity,A,training_mean,0,,1.0,0.0,nan,nan,nan,nan,nan,4.440892098500626e-16,23.72182675677627,25.222821288832197,23.717035738095024,8.584458606475415,True,265852,136,post_hoc_second_order_diagnostic,,,,,,,v1.2
User01,1,temperature,B,adaptation_target_mean,1,,1.0,0.0,nan,nan,nan,nan,nan,4.440892098500626e-16,2.30544366281863,2.7420104469654136,2.0903943643045944,1.7745063237281102,True,265852,136,post_hoc_second_order_diagnostic,,,,,,,v1.2
User01,1,humidity,B,adaptation_target_mean,1,,1.0,0.0,nan,nan,nan,nan,nan,0.0,44.62837129112985,45.446501005745574,44.62837129112985,8.584458606475415,True,265852,136,post_hoc_second_order_diagnostic,,,,,,,v1.2
User01,1,temperature,B,adaptation_target_mean,3,,1.0,0.0,nan,nan,nan,nan,nan,4.440892098500626e-16,2.268589154621473,2.699064932167888,2.033735188048679,1.7745063237281102,True,265852,136,post_hoc_second_order_diagnostic,,,,,,,v1.2
User01,1,humidity,B,adaptation_target_mean,3,,1.0,0.0,nan,nan,nan,nan,nan,4.440892098500626e-16,44.15539015791513,44.98212322205344,44.15539015791513,8.584458606475415,True,265852,136,post_hoc_second_order_diagnostic,,,,,,,v1.2
User01,1,temperature,B,adaptation_target_mean,7,,1.0,0.0,nan,nan,nan,nan,nan,4.440892098500626e-16,2.161904323734999,2.577737002239314,1.8697206635651946,1.7745063237281102,True,265852,136,post_hoc_second_order_diagnostic,,,,,,,v1.2
User01,1,humidity,B,adaptation_target_mean,7,,1.0,0.0,nan,nan,nan,nan,nan,0.0,35.52395960310459,36.54647227092235,35.52395960310459,8.584458606475415,True,265852,136,post_hoc_second_order_diagnostic,,,,,,,v1.2
User01,1,temperature,B,adaptation_target_mean,14,,1.0,0.0,nan,nan,nan,nan,nan,4.440892098500626e-16,1.870824675575304,2.27411276937324,1.422222273371984,1.7745063237281102,True,265852,136,post_hoc_second_order_diagnostic,,,,,,,v1.2
User01,1,humidity,B,adaptation_target_mean,14,,1.0,0.0,nan,nan,nan,nan,nan,4.440892098500626e-16,19.094125299780526,20.89804228526208,19.05348371795331,8.584458606475415,True,265852,136,post_hoc_second_order_diagnostic,,,,,,,v1.2
User01,1,temperature,C,raw_tcn_base,0,0,1.7001799141305571,1.4335893782632372,0.057396757938997664,0.01349046886439308,0.01349046886439308,0.0032943878219078913,0.9983514472259216,4.440892098500626e-16,2.8132957138884467,3.4545021794818416,1.6826814709666877,1.7745063237281102,False,265852,136,post_hoc_second_order_diagnostic,0.026654051516688898,136,0,0,0,136,v1.2
User01,1,humidity,C,raw_tcn_base,0,0,1.295462159316604,0.8228766446771546,-0.000666098541742156,-0.008319550155631386,-0.008319550155631386,4.436872673110267e-07,0.9999997781563418,0.0,19.267175499700787,22.05854497838365,19.05009962503423,8.584458606475415,False,265852,136,post_hoc_second_order_diagnostic,-0.023805202702364407,136,0,0,0,136,v1.2
User01,1,temperature,C,raw_tcn_base,0,1,1.955858423395716,1.7739038210214935,0.09057779515961319,0.022660574709955257,0.022660574709955257,0.008204336975976846,0.9958893829256455,8.881784197001252e-16,3.3145944897849513,4.060256763133392,2.107141077360308,1.7745063237281102,False,265852,136,post_hoc_second_order_diagnostic,0.0246142882342488,136,0,0,0,136,v1.2
User01,1,humidity,C,raw_tcn_base,0,1,1.3660609566391064,0.9231078956571968,-0.007580018703625884,-0.017157104620816533,-0.017157104620816533,5.745668354731823e-05,0.9999712712455557,2.220446049250313e-16,20.841676912869673,23.68754700953557,20.58105552757318,8.584458606475415,False,265852,136,post_hoc_second_order_diagnostic,-0.0034982028152754866,136,0,0,0,136,v1.2
User01,1,temperature,C,raw_tcn_base,0,2,1.8257267370423862,1.5531099453592574,0.025391758084503276,0.03087314329058688,0.03087314329058688,0.0006447413786219375,0.9996775773325007,4.440892098500626e-16,3.149111626976526,3.7650727463194635,1.918255546112007,1.7745063237281102,False,265852,136,post_hoc_second_order_diagnostic,0.033953526489491175,136,0,0,0,136,v1.2
User01,1,humidity,C,raw_tcn_base,0,2,1.4538992160232125,1.0854311219981136,0.02963697509001585,-0.026046033254499522,-0.026046033254499522,0.0008783502924862199,0.9995607283739762,0.0,21.929375091538763,25.017800938053398,21.68217146537588,8.584458606475415,False,265852,136,post_hoc_second_order_diagnostic,-0.04792448312409714,136,0,0,0,136,v1.2
User01,1,temperature,D,raw_tcn_bias_calibrated,1,0,1.7001799141305576,1.4335893782632378,0.057396757938997726,0.013490468864393089,0.013490468864393089,0.0032943878219078987,0.9983514472259216,0.0,4.592847233349858,5.313682546327884,4.374134637598551,1.7745063237281102,False,265852,136,post_hoc_second_order_diagnostic,0.026654051516688884,136,0,0,0,136,v1.2
User01,1,humidity,D,raw_tcn_bias_calibrated,1,0,1.2954621593166038,0.8228766446771545,-0.000666098541742156,-0.008319550155631381,-0.008319550155631381,4.436872673110267e-07,0.9999997781563418,4.440892098500626e-16,51.584625598547106,52.76975183741086,51.584625598547106,8.584458606475415,False,265852,136,post_hoc_second_order_diagnostic,-0.023805202702364373,136,0,0,0,136,v1.2
